HashOwner,HashApp,HashFunction,Average,Count,Minimum,Maximum,percentile_Average_0,percentile_Average_1,percentile_Average_25,percentile_Average_50,percentile_Average_75,percentile_Average_99,percentile_Average_100
9ebed12b5576b9f86c324deba091129b33144e3950674a13de850360b0564fcb,a6d7aa6d979bd42c8506200378f9e792c6f78ad0f2db9231bdb0d358de18f819,1dcc3b9474b4cc0b499a008e2cc2f56381ab83031bb2a230bd3d29267de3af36,11508,12,4509.0,40865.0,4509,4509,5355,6248,10309,40865,40865
5f62eef98e3553aa1efb09599503a436a82ac361b39f9ecee57cd0dce44968da,518a6c40854d408d26bbcdcb660d59bb87a16f6c60b5bd04655a2996e4e26dba,d795423a8fecb12133782400f23d6920790e2b9883ddade580b9d5f1b4574756,3665,48,701.0,13092.0,701,701,1063,1715,7073,13092,13092
f674ff9fb25cff043bc66b0c8ffa3def998f1c3a137665eeb80c45b5363f4016,9e70872494a04201fb6e2bd4e10907de93af22e4b05b95eacba1cd5191f64269,913e68ab64c4589a414ae3919e31e39c56039a633126609e99dfbb9bb351f902,4129,34,0.0,19560.0,0,0,124,536,8346,19560,19560
01e0a1e7f551ecfb2b42677d3dd15e3023ca70bc1cee582b85a51577097e9588,4b378d05ebdea0e97f817608d199513d58a142ffd0de239add73455be25cdba5,11804819bcd58daab16cfe957b437466f133f454c2df76d1be7f50bbe5cb4e12,414,1207,120.0,2213.0,152,199,331,395,472,916,2213
20f67d1dc87d752a32fc72b81ff94a0b55af46c588fa516f15599d613b707d0c,2de710153e524f80effed4d340a69c81f00a4162f9fc535edf1b19bcf9540f5e,743fc3fa2ca30f43d25268c44150d7057beba4bffdd0564534bf980829203b01,999,404,215.0,5541.0,250,287,521,726,1292,3814,4368
46319ce4ca93214fad507c76bf52f84a84784d6742c8cbb23290b9f495d24894,1aed6a5aa397da392fd0f73a30060ddaffdf548a890b73e666c81a11d2588aa6,9ce0ffcfb3d6f2963007aa08d2606d5098fa747e9a06aedd095930baad06cd10,30926,24,1662.0,66148.0,1662,1662,25605,29915,35375,66148,66148
7a78c12870f0fe0d13475f4c381603c998e54f36565fddccda2d96d4727813f6,7dc08639b868df22dc6fcf14718bdc3efed85f7e1770d25deac98d5b81761a36,0db934fb4b4ca847c55d79fe8e3b72062cb73efad63e8e856afab0d0c0450fbf,49821,39,7033.0,124723.0,7033,7033,8569,57733,77661,124723,124723
46319ce4ca93214fad507c76bf52f84a84784d6742c8cbb23290b9f495d24894,1aed6a5aa397da392fd0f73a30060ddaffdf548a890b73e666c81a11d2588aa6,49950d7ed20ddfc69a213178a9525ee940da0550e9962d9a6de5bd44dfe70e37,41152,24,18269.0,69947.0,18269,18269,31031,37667,57080,69947,69947
084937ae32753eb7b3d04fd6c6d731b39a2b54932bec1be0d3231ce0b981fbb4,f26e60bb6b07cd771aa17f5178f1a8e1c1c1cb98196d43d9a3de8aaa0b91a230,1c773313cf2515645bb1dddeed5737eccc2a31630e2722bc478854654ae5fa9a,95,115,3.0,587.0,3,3,7,34,88,578,582
d0242f7ee62e2734ed4f784068be7a73a5ba31450c82a868b1c4754912f33b70,c9cc809ac0fe303590fc058c55b46270f19db79b8d88828c3d7cfdab8d19181d,d0b9270800d742440b68748392de34456ac10b037bda6c28f431560ed5be2e41,42,69,0.0,125.0,14,14,25,36,48,125,125
acd3b4103880562f0a0a235ac474a8eceda382726cd0fc1747980acb4e817477,88d82cd98c8ff1e867bc687b85d4a5e3202ea6f388ecf636094564557d7a4198,c32932467f20d4b2e378f5d20f9d1e2cbaad4c34f3de24e5751ff1fc10a4a159,92172,3,80520.0,106214.0,80520,80520,80520,89784,106214,106214,106214
9216c5111361ea6e29b86782f13148356d424fc9cf902bd44a286485953cbdd8,7e89ccddf0fba168c7978d3909bf7c4d3898248871e085e758e887a30475ac73,f4f1c519a874c1019687710d10003afd1ec02de42ef1a087ec05527dabd4b2c1,21455,6,1561.0,61034.0,1561,1561,1955,4093,44721,61034,61034
b0011a474dbb73c0455bf0356c7268477ae0de9bd80ec909dc3cb309a0c9d3e8,ecd47949119f1cd3c31a83676dfc8bc2c6f213c9a19daade3c19e732ba28a670,3c4ac2def64a46d8cad4860ba094165eae8e025421b2a8a756ef804b3a7ca05d,13,802,0.0,2093.0,0,0,0,3,9,189,189
9216c5111361ea6e29b86782f13148356d424fc9cf902bd44a286485953cbdd8,7e89ccddf0fba168c7978d3909bf7c4d3898248871e085e758e887a30475ac73,4eca5f86b6b4220b677b814daced788f46dc16517b2ac100daa12067e7e2fc71,7885,16,721.0,26775.0,721,721,1334,2458,10034,26775,26775
aa352762771e104b718f1aab812cc097c62948df4809447249479968e20caf08,739d4b80e0262003b143a91120d77b95713b0198334cd4e8cc8c8a9c1c9c8403,b732a40ae2a57fad7229e4989476dcacbec5c1cf46b871c2bbf435954b0648b4,63,14,15.0,234.0,15,15,38,62,93,124,124
aa352762771e104b718f1aab812cc097c62948df4809447249479968e20caf08,739d4b80e0262003b143a91120d77b95713b0198334cd4e8cc8c8a9c1c9c8403,a56ed66fcf3111f27a73652a30809126f1cd12863d9f5ca2a50d1760f312de4f,43,8,0.0,192.0,0,0,0,29,31,192,192
702d2004d7b408132d191524cd3f1cb9e757494258d648b6de977b37cad635cd,fd7a66a3b5af77aac1782c3aebf95ba7cce074fa4c6f60bd65e03a01e07e9db1,bbc60f7a9b5163c396d46928c1faba7d29ec91c46df7f22f4190554bbef4c94b,145,10,78.0,421.0,93,93,115,124,132,265,265
d2e25e77f08555f93ebb056e07ca9642a476f60544bc72838c609b3f3a179123,871b48cb78a654a4f089aaeb1cc52b3254a2d5bcf90dbe8ff79b9ff5e9229cc5,cf108aaf4bb733c4d48d652a61fbb20a09d3892b0ececc6ca26f59f949519d36,2,2193,0.0,203.0,0,0,0,0,2,18,203
5929411591ac0b2c32f81dd25d7c663c7729d18ccc9bd2c8d85ca207c3ad29e1,c19fe38d943b229a5d08d4064b6d34188e1e3e39c79474aac5a526985d5c110f,1644b71d426c2b94d6dc2e65a1330d8d8a3437727d940b010f5b4cd3d5b57885,121,12,43.0,429.0,48,48,56,85,104,429,429
dce7122387d3e63e9fe17beab7f689b53f50c1f330bd70dad11e0c45502ff50e,40f6b3fe962ad7f57ee5e8e39ffdc92810264e21dd3961c334b6e5590be52e04,93c0e06e4a59ab440accff620e97cc4b77de6a82ff8083fa0b868f838825038f,20707,295,6784.0,148341.0,6784,7443,11078,14793,22267,115781,148341
7dfcb8ded81822d4498d4466a66d1c50bce48152032866d51944ecaecddd081d,1d2cc14459ef2d8f96b0aa5b8b949cecdaf2a8701c6ab754660ccfe09af90d66,0771e6d5a454f4866d6bdab0f8b2113df37ed566309853c6516954c56f893b3c,15,73,8.0,148.0,9,9,10,12,15,53,53
2164c33b87384aba721307dff9ef4ffe8458d897bac656a6e57078ac60db138a,7e134212012c156a409f9672a7d09343aeaf907b1683b1f83c17d8f6b888fffa,356fb240eee5a79d78a8b70e13e377847c489b5791627fa7014624041b9ac409,27,8,20.0,44.0,20,20,20,23,31,44,44
772f8b13be0174f004268d434270719994dcf41dc6be139c55ed12615c5e1d10,c10335e4060739ed77e8ef517c37c4ea7767d8cdaec73ceb69f37ab2c8cce490,e55efee72e37d3402f5b30605e737d37c7577e3688a7d0a072f066ba1ddc9a0c,64,216,15.0,796.0,30,30,38,47,56,404,404
